股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,成交量,成交额(万元)
002075,沙钢股份,2026-06-05,3.6900,3.7300,3.6500,3.6700,292183,10723.12
002076,*ST星光,2026-06-05,2.5400,2.6100,2.5300,2.5500,289817,7390.33
002077,大港股份,2026-06-05,17.2300,17.3900,16.2600,16.6600,356358,59369.24
002078,太阳纸业,2026-06-05,13.1700,13.4000,13.1000,13.1800,145307,19151.46
002079,苏州固锝,2026-06-05,12.1000,12.5400,11.6400,12.2600,475083,58245.18
002080,中材科技,2026-06-05,62.8000,66.3500,60.9300,62.7300,539437,338388.83
002081,金 螳 螂,2026-06-05,6.1100,6.3800,5.7200,5.7800,3145727,181823.02
002082,ST万邦,2026-06-05,13.4600,13.7900,13.2600,13.2700,231310,30694.84
002083,孚日股份,2026-06-05,9.4700,9.5500,9.2700,9.3600,224437,21007.30
002084,海鸥住工,2026-06-05,3.2500,3.3400,3.1800,3.2800,161317,5291.20
002085,万丰奥威,2026-06-05,11.4000,11.8700,11.2500,11.6000,355038,41184.41
002086,东方海洋,2026-06-05,1.9200,1.9600,1.8900,1.9200,548119,10523.88
002088,鲁阳节能,2026-06-05,8.6900,8.7500,8.4300,8.6500,31237,2702.00
002090,金智科技,2026-06-05,10.1900,10.2500,9.9000,10.0600,82769,8326.56
002091,江苏国泰,2026-06-05,8.2900,8.3400,8.2000,8.2900,117294,9723.67
002092,中泰化学,2026-06-05,4.4700,4.6200,4.4700,4.5400,574203,26068.82
002093,国脉科技,2026-06-05,7.1500,7.3900,7.0900,7.2400,137818,9978.02
002094,青岛金王,2026-06-05,5.0900,5.1500,5.0000,5.0700,164059,8317.79
