code,price,open,high,low,volume,amount,bid_vol,ask_vol,turnover,updated_at
002514,4.0500,3.9400,4.1700,3.9400,485809,193757296.00,306863,178946,0.0000,2026-06-06 12:02:19.577001+00:00
002516,6.0600,5.9000,6.1700,5.6800,350975,209542272.00,188708,162267,2.3862,2026-06-06 12:02:19.577001+00:00
002517,15.2200,15.2300,15.7300,15.1000,542144,835899008.00,273652,268492,2.5376,2026-06-06 12:02:19.577001+00:00
002518,50.9000,51.0100,53.2100,49.2300,160423,821019840.00,83891,76533,0.0000,2026-06-06 12:02:19.577001+00:00
002519,6.6200,6.5000,6.7400,6.3700,482651,318762144.00,281925,200726,4.2848,2026-06-06 12:02:19.577001+00:00
002520,6.3500,6.2100,6.5100,5.9500,835913,520894080.00,438404,397509,11.1419,2026-06-06 12:02:19.577001+00:00
002522,7.2900,7.1000,7.4000,7.0300,903416,653144576.00,469610,433806,9.9739,2026-06-06 12:02:19.577001+00:00
002523,3.5200,3.4800,3.5700,3.4500,239847,84511888.00,140427,99421,1.6931,2026-06-06 12:02:19.577001+00:00
002524,3.7900,3.7400,3.8400,3.6800,117668,44380512.00,70092,47577,2.2833,2026-06-06 12:02:19.577001+00:00
002526,3.0000,2.9600,3.0400,2.9400,245391,73366632.00,123035,122356,1.3764,2026-06-06 12:02:19.577001+00:00
002527,15.4300,14.6800,15.6000,14.5100,424704,643351424.00,224820,199884,6.4052,2026-06-06 12:02:19.577001+00:00
002528,4.8300,4.8000,5.0400,4.7200,202885,98778672.00,94731,108155,0.0000,2026-06-06 12:02:19.577001+00:00
002529,7.6800,7.7300,7.9100,7.5500,35271,27227856.00,20115,15156,1.3566,2026-06-06 12:02:19.577001+00:00
002531,9.7700,10.0500,10.1100,9.4700,496315,485577664.00,246176,250139,0.0000,2026-06-06 12:02:19.577001+00:00
002532,13.8100,14.3000,14.4100,13.7200,799644,1122573440.00,364011,435633,1.7276,2026-06-06 12:02:19.577001+00:00
002533,11.9200,12.0800,12.1500,11.8200,119261,142541024.00,55370,63891,1.6249,2026-06-06 12:02:19.577001+00:00
002534,19.7200,19.9500,20.1700,19.4000,134224,265135232.00,71558,62667,0.0000,2026-06-06 12:02:19.577001+00:00
002535,2.6400,2.5900,2.6900,2.5400,279143,73007640.00,137600,141544,3.4820,2026-06-06 12:02:19.577001+00:00
002536,39.5500,40.0000,41.5500,39.3000,358939,1449650688.00,160859,198081,6.2447,2026-06-06 12:02:19.577001+00:00
002537,6.1400,6.1300,6.2500,6.0800,201087,124013752.00,105620,95468,1.7128,2026-06-06 12:02:19.577001+00:00
002538,5.9600,6.0400,6.0600,5.9100,89532,53575044.00,35504,54028,1.0489,2026-06-06 12:02:19.577001+00:00
