id,pick_date,stock_code,rank,score,signal_tags,risk_level,suggestion
496,2026-05-14,688525,27,3.49,,,
492,2026-05-14,688234,30,1.05,,,
470,2026-05-14,300352,31,-4.76,,,
475,2026-05-14,300983,32,2.31,,,
455,2026-05-14,002501,33,5.33,,,
478,2026-05-14,600409,35,0.63,,,
485,2026-05-14,603903,36,-0.80,,,
481,2026-05-14,600769,37,0.55,,,
457,2026-05-14,002531,38,-0.47,,,
465,2026-05-14,300042,40,2.72,,,
459,2026-05-14,002569,41,-0.50,,,
479,2026-05-14,600497,42,2.99,,,
469,2026-05-14,300323,43,8.66,,,
476,2026-05-14,301093,44,11.19,,,
487,2026-05-14,603993,45,0.76,,,
491,2026-05-14,688208,46,-0.36,,,
477,2026-05-14,301338,47,-3.71,,,
498,2026-05-14,688549,49,2.48,,,
471,2026-05-14,300555,50,-2.00,,,
324,2026-05-27,600162,1,4.36,,,
512,2026-05-08,300081,4,0.92,,,
413,2026-05-07,300081,4,0.92,,,
429,2026-05-07,600726,6,5.09,,,
425,2026-05-07,301169,7,-1.35,,,
442,2026-05-07,688158,10,-0.97,,,
410,2026-05-07,002810,15,-1.64,,,
426,2026-05-07,301500,17,-0.93,,,
424,2026-05-07,301150,19,-1.01,,,
406,2026-05-07,002235,22,0.68,,,
401,2026-05-07,000711,25,2.27,,,
428,2026-05-07,600683,26,9.99,,,
409,2026-05-07,002730,27,3.54,,,
415,2026-05-07,300302,29,17.59,,,
417,2026-05-07,300480,31,1.62,,,
416,2026-05-07,300400,33,-2.16,,,
405,2026-05-07,002122,34,-2.89,,,
402,2026-05-07,000995,36,-1.01,,,
411,2026-05-07,002910,37,-2.76,,,
407,2026-05-07,002253,38,-3.17,,,
414,2026-05-07,300161,39,-0.19,,,
418,2026-05-07,300539,41,-1.15,,,
412,2026-05-07,002975,42,-0.39,,,
419,2026-05-07,300806,44,0.88,,,
422,2026-05-07,301093,46,11.19,,,
404,2026-05-07,001288,47,-1.55,,,
421,2026-05-07,300878,50,-1.81,,,
385,2026-05-26,603256,2,-0.72,,,
474,2026-05-14,300779,7,3.95,,,
620,2026-05-29,300854,4,-3.92,,,
617,2026-05-29,300715,8,5.29,,,
613,2026-05-29,300394,9,8.84,,,
615,2026-05-29,300478,10,0.74,,,
641,2026-05-29,603359,11,-3.32,,,
614,2026-05-29,300430,12,-5.29,,,
632,2026-05-29,600745,13,-5.00,,,
