code,trade_date,pe,pb,ps,total_market_cap,circulating_market_cap
000680,2026-06-05,4.8700,2.5300,,16351554953.13,
000681,2026-06-05,7.1300,4.4400,,17031037125.78,
000682,2026-06-05,7.3100,2.8000,,17228342351.56,
000683,2026-06-05,6.0800,1.9600,,25534632834.38,
000685,2026-06-05,2.7100,0.8300,,15807463879.69,
000686,2026-06-05,4.3900,0.8700,,18021487859.38,
000688,2026-06-05,13.1100,15.4300,,46288745704.69,
000690,2026-06-05,3.7400,0.8900,,11597482040.63,
000692,2026-06-05,5.2500,13.9700,,2589568417.97,
000415,2026-06-06,2.6500,0.8100,,24057787662.50,
000697,2026-06-05,1274.4800,4.6100,,15538462570.31,
000698,2026-06-05,34.3300,2.0300,,2827324593.75,
000700,2026-06-05,9.7600,4.0000,,15872486103.91,
000701,2026-06-05,35.3000,0.0000,,3796018550.00,
000417,2026-06-06,9.1000,1.2300,,5849131640.63,
000703,2026-06-05,2.5600,1.9300,,50973257225.00,
000419,2026-06-06,9.9000,0.8100,,2777707573.05,
000420,2026-06-06,40.4300,2.4800,,11015729900.00,
000708,2026-06-05,4.5300,1.5400,,68489939996.88,
000709,2026-06-05,6.9800,0.4300,,22534924325.00,
000421,2026-06-06,4.5700,1.1700,,3308634450.00,
000422,2026-06-06,7.9400,2.3100,,14388745415.63,
000423,2026-06-06,7.0200,2.9600,,31941249125.00,
000715,2026-06-05,13.5600,1.3800,,2799451276.56,
000716,2026-06-05,12.2000,1.5900,,4012872053.13,
000425,2026-06-06,5.4200,1.7800,,111490719200.00,
000718,2026-06-05,140.3300,0.7600,,6979663375.00,
000719,2026-06-05,12.2100,1.1000,,13567682760.94,
000426,2026-06-06,5.0500,6.2500,,67616210550.00,
600293,2026-06-06,0.0000,2.6900,,4594174509.38,
000429,2026-06-06,6.3800,2.5000,,28811307971.88,
000726,2026-06-05,5.1900,0.5000,,4864277468.75,
000430,2026-06-06,2.2100,3.7200,,6760455511.72,
000728,2026-06-05,5.5600,0.7700,,30110066906.25,
000729,2026-06-05,12.6800,2.1300,,33568803956.25,
600302,2026-06-06,0.0000,7.1200,,3449717752.73,
000733,2026-06-05,195.3300,1.9700,,31072279046.48,
000498,2026-06-06,4.7800,0.4800,,8010597656.25,
000736,2026-06-05,103.1000,2.9200,,3541246593.75,
000737,2026-06-05,4.2900,3.5500,,26399369390.63,
000738,2026-06-05,19.5400,1.9600,,24738612215.63,
000739,2026-06-05,7.5000,2.8500,,18685695167.19,
000750,2026-06-05,8.9300,1.0000,,22926366006.25,
000751,2026-06-05,11.0200,2.2000,,8126622043.75,
000752,2026-06-05,31.4400,3.8300,,2376464049.80,
000753,2026-06-05,26.4000,1.8900,,5185446120.31,
000755,2026-06-05,6.5100,1.3000,,7321877679.69,
000756,2026-06-05,10.6000,1.6600,,8896647496.88,
000757,2026-06-05,25.6800,1.3200,,2125537214.06,
000758,2026-06-05,5.1500,2.1500,,13375756800.00,
000501,2026-06-06,4.5300,0.5100,,5590577178.91,
600303,2026-06-06,0.0000,2.5200,,2372106639.06,
000762,2026-06-05,76.7800,4.9500,,14577732119.53,
000766,2026-06-05,261.4900,10.2900,,23872418781.25,
000767,2026-06-05,26.1300,2.7200,,16430871281.25,
000768,2026-06-05,23.7500,2.6000,,58476228300.00,
000776,2026-06-05,3.1300,1.0700,,147185346206.25,
000504,2026-06-06,25.3300,10.1500,,2811796692.19,
000778,2026-06-05,8.4800,0.6300,,16724628831.25,
000779,2026-06-05,6.0000,0.8800,,3495517781.25,
000505,2026-06-06,51.4500,1.4600,,4187233350.00,
000783,2026-06-05,2.7900,1.1300,,41475548437.50,
000785,2026-06-05,24.7700,0.8000,,15380810412.50,
