id,code,report_date,report_type,total_revenue,net_profit,revenue_growth,profit_growth,total_assets,total_liabilities,net_assets,roe,eps,bps,gross_margin,net_margin,debt_ratio,created_at
163,000001,2024-09-30,三季报,111582000000.00,39729000000.00,,,5745988000000.00,5255519000000.00,490469000000.00,8.1000,1.9400,0.0000,0.0000,35.6100,91.4600,2026-06-06 04:14:53.607898+00:00
164,000001,2024-06-30,中报,77132000000.00,25879000000.00,,,5754033000000.00,5272164000000.00,481869000000.00,5.3700,1.2300,0.0000,0.0000,33.5500,91.6300,2026-06-06 04:14:53.607898+00:00
165,000725,2026-03-31,一季报,51001263370.00,1707220076.00,,,437705366743.00,227239362857.00,136096934128.00,1.2500,0.0500,0.0000,15.6000,3.3500,51.9200,2026-06-06 05:37:17.545384+00:00
166,000725,2025-12-31,年报,204590222888.00,5856966754.00,,,436378322803.00,228902566070.00,134478628806.00,4.3600,0.1600,0.0000,15.6400,2.8600,52.4600,2026-06-06 05:37:17.545384+00:00
167,000725,2025-09-30,三季报,154547999525.00,4601497094.00,,,430745273396.00,225822940197.00,133789154205.00,3.4400,0.1200,0.0000,14.4200,2.9800,52.4300,2026-06-06 05:37:17.545384+00:00
168,000725,2025-06-30,中报,101278182135.00,3246885779.00,,,425801431370.00,222564527441.00,132991322618.00,2.4400,0.0900,0.0000,14.4100,3.2100,52.2700,2026-06-06 05:37:17.545384+00:00
113,300197,2026-03-31,一季报,193616491.33,-121340977.39,,,24413424585.66,23528584568.42,561785651.04,-21.6000,-0.0468,0.0000,6.8800,-62.6700,96.3800,2026-06-06 04:02:16.597770+00:00
114,300197,2025-12-31,年报,900385470.19,-2074947622.05,,,24679059976.24,23659300469.41,687437715.73,-301.8400,-0.7234,0.0000,-53.9000,-230.4500,95.8700,2026-06-06 04:02:16.597770+00:00
115,300197,2025-09-30,三季报,605746643.86,-877975892.89,,,25832373493.56,23561773578.58,1902898982.09,-46.1400,-0.3138,0.0000,-40.1500,-144.9400,91.2100,2026-06-06 04:02:16.597770+00:00
116,300197,2025-06-30,中报,515627932.75,-582981378.48,,,26158214985.35,23647712722.41,2127128096.21,-27.4100,-0.2084,0.0000,-17.5100,-113.0600,90.4000,2026-06-06 04:02:16.597770+00:00
129,300197,2025-03-31,一季报,201771822.28,-154558931.43,,,27059682377.14,24117192061.34,2542943340.68,-6.0800,-0.0580,0.0000,-21.1700,-76.6000,89.1300,2026-06-06 04:12:46.155270+00:00
130,300197,2024-12-31,年报,1045939213.20,-2596250978.33,,,26839355835.30,23732489753.53,2694430571.52,-96.3600,-0.9000,0.0000,-60.8000,-248.2200,88.4200,2026-06-06 04:12:46.155270+00:00
131,300197,2024-09-30,三季报,962894427.43,-633398425.95,,,29320742974.24,24174500830.64,4639251690.07,-13.6500,-0.2313,0.0000,-5.0100,-65.7800,82.4500,2026-06-06 04:12:46.155270+00:00
132,300197,2024-06-30,中报,651872095.53,-410869881.88,,,29298224316.88,23916590658.04,4856145808.79,-8.4600,-0.1504,0.0000,-5.5100,-63.0300,81.6300,2026-06-06 04:12:46.155270+00:00
5,600519,2026-03-31,一季报,54702912385.23,27242512886.45,,,319918844905.58,38782958469.89,270894035676.27,10.0600,21.7600,0.0000,89.9100,49.8000,12.1200,2026-06-05 20:17:16.176023+00:00
6,600519,2025-12-31,年报,172054171890.91,82320067101.68,,,303834844021.44,49875590112.37,244637811032.18,33.6500,65.6600,0.0000,91.3400,47.8500,16.4200,2026-06-05 20:17:16.176023+00:00
7,600519,2025-09-30,三季报,130903889634.88,64626746712.18,,,304738184929.86,39033160057.01,257069964386.23,25.1400,51.5300,0.0000,91.4600,49.3700,12.8100,2026-06-05 20:17:16.176023+00:00
8,600519,2025-06-30,中报,91093762553.97,45402962298.10,,,292257789095.51,43122202832.76,238646536390.48,19.0300,36.1800,0.0000,91.4600,49.8400,14.7500,2026-06-05 20:17:16.176023+00:00
145,600519,2025-03-31,一季报,51443450583.77,26847474238.76,,,312368697395.05,44178362224.66,258357842676.41,10.3900,21.3800,0.0000,92.1100,52.1900,14.1400,2026-06-06 04:12:46.155270+00:00
146,600519,2024-12-31,年报,174144069958.25,86228146421.62,,,298944579918.70,56933264798.10,233105984399.47,36.9900,68.6400,0.0000,92.0800,49.5200,19.0400,2026-06-06 04:12:46.155270+00:00
147,600519,2024-09-30,三季报,123122542625.45,60827552118.51,,,286770722957.69,39082558719.52,237709455000.28,25.5900,48.4200,0.0000,91.6900,49.4000,13.6300,2026-06-06 04:12:46.155270+00:00
148,600519,2024-06-30,中报,83451164646.53,41695610983.37,,,279207261166.63,51162451517.35,218575608600.14,19.0800,33.1900,0.0000,91.9100,49.9600,18.3200,2026-06-06 04:12:46.155270+00:00
169,000725,2025-03-31,一季报,50598933939.00,1613999380.00,,,420213183470.00,212912178189.00,132544781278.00,1.2200,0.0400,0.0000,15.7700,3.1900,50.6700,2026-06-06 05:37:17.545384+00:00
170,000725,2024-12-31,年报,198380605661.00,5323248974.00,,,429978221541.00,225432049797.00,132937555308.00,4.0000,0.1400,0.0000,15.2000,2.6800,52.4300,2026-06-06 05:37:17.545384+00:00
